age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
43,blue-collar,married,primary,no,-437.3205701804993,yes,no,unknown,8,may,1120,2,-1,0,unknown,yes
37,unemployed,single,secondary,no,308.45627318375824,yes,no,unknown,8,may,985,2,-1,0,unknown,no
35,blue-collar,single,secondary,no,706.4083615104737,yes,no,unknown,9,may,617,4,-1,0,unknown,yes
31,technician,single,tertiary,no,-702.1000853195858,yes,no,unknown,9,may,483,3,-1,0,unknown,no
43,blue-collar,single,secondary,no,25.783432488247563,yes,no,unknown,9,may,929,3,-1,0,unknown,yes
31,admin.,married,secondary,no,468.2066459466224,yes,no,unknown,9,may,538,1,-1,0,unknown,yes
28,blue-collar,single,secondary,no,-1115.474011643515,yes,no,unknown,9,may,710,1,-1,0,unknown,no
32,blue-collar,married,secondary,yes,190.04735178046113,yes,no,unknown,9,may,653,1,-1,0,unknown,no
60,technician,married,primary,no,-783.5864432213012,yes,no,unknown,9,may,1028,2,-1,0,unknown,yes
26,blue-collar,single,secondary,no,-1526.794324041834,yes,no,unknown,9,may,654,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,1808.995534049408,yes,no,unknown,9,may,1692,2,-1,0,unknown,no
33,blue-collar,divorced,primary,no,2502.1221097345006,yes,no,unknown,9,may,665,2,-1,0,unknown,yes
32,management,single,tertiary,no,1067.648852555661,no,no,unknown,12,may,757,2,-1,0,unknown,no
35,blue-collar,married,primary,no,23.07670879249241,no,no,unknown,13,may,504,4,-1,0,unknown,no
33,management,divorced,secondary,no,-1283.1793497252766,yes,no,unknown,13,may,1346,1,-1,0,unknown,yes
38,management,married,tertiary,no,481.5564867059353,yes,no,unknown,13,may,568,4,-1,0,unknown,no
23,entrepreneur,single,primary,no,-96.56750634657524,yes,no,unknown,13,may,395,2,-1,0,unknown,no
60,blue-collar,married,primary,no,149.51111116360562,yes,yes,unknown,13,may,1015,1,-1,0,unknown,yes
48,management,married,tertiary,no,1941.353710529029,yes,no,unknown,13,may,683,2,-1,0,unknown,yes
45,entrepreneur,divorced,tertiary,no,-2506.650471549359,yes,no,unknown,13,may,470,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,2511.777757233106,yes,no,unknown,13,may,1001,4,-1,0,unknown,yes
52,management,married,unknown,no,1720.442390141156,yes,no,unknown,13,may,845,1,-1,0,unknown,yes
35,blue-collar,divorced,primary,no,610.102194265914,yes,no,unknown,13,may,945,2,-1,0,unknown,no
43,technician,married,secondary,no,2912.2454725949674,yes,no,unknown,13,may,1721,2,-1,0,unknown,no
52,housemaid,married,secondary,no,3955.3140664775106,yes,no,unknown,14,may,942,3,-1,0,unknown,no
53,technician,divorced,primary,no,1520.3673556765052,yes,no,unknown,14,may,476,1,-1,0,unknown,no
48,blue-collar,divorced,primary,no,-760.9328639393996,yes,no,unknown,14,may,832,1,-1,0,unknown,yes
41,blue-collar,single,primary,no,3826.5007924124147,yes,no,unknown,14,may,1553,1,-1,0,unknown,yes
39,management,divorced,tertiary,no,1147.3654838461448,yes,yes,unknown,14,may,1328,1,-1,0,unknown,no
59,retired,married,secondary,no,3187.0013108543217,yes,yes,unknown,14,may,1125,2,-1,0,unknown,yes
41,blue-collar,married,secondary,no,4052.8148462587333,yes,no,unknown,14,may,858,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,1576.895266701989,yes,no,unknown,14,may,629,2,-1,0,unknown,no
40,admin.,married,secondary,no,2999.325678055605,yes,no,unknown,14,may,704,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,229.9629081663643,yes,no,unknown,14,may,760,1,-1,0,unknown,no
60,retired,married,primary,no,803.1818398656717,yes,no,unknown,14,may,930,1,-1,0,unknown,no
40,technician,single,unknown,no,1756.4758602509578,yes,no,unknown,14,may,1028,2,-1,0,unknown,no
57,technician,married,tertiary,no,-340.02003899356004,no,no,unknown,14,may,850,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,6981.322259549344,yes,no,unknown,14,may,927,1,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,4808.855564169993,yes,no,unknown,14,may,1423,3,-1,0,unknown,yes
41,blue-collar,married,secondary,no,2229.178123963857,yes,no,unknown,15,may,1162,4,-1,0,unknown,no
52,blue-collar,divorced,primary,no,-457.2856588871159,yes,no,unknown,15,may,755,1,-1,0,unknown,no
59,blue-collar,married,primary,no,-134.7591326311645,yes,no,unknown,15,may,695,1,-1,0,unknown,yes
44,blue-collar,married,unknown,no,216.4123247450413,yes,no,unknown,15,may,483,1,-1,0,unknown,yes
49,unknown,married,primary,no,-657.9834519657519,yes,yes,unknown,15,may,520,2,-1,0,unknown,no
40,services,married,primary,no,722.5257005561468,yes,no,unknown,15,may,920,2,-1,0,unknown,no
41,admin.,married,primary,no,-1807.2761944873032,yes,no,unknown,15,may,500,1,-1,0,unknown,yes
44,technician,married,tertiary,no,7452.187931835866,yes,no,unknown,15,may,911,2,-1,0,unknown,yes
60,services,single,primary,no,933.2985449413866,yes,no,unknown,15,may,920,2,-1,0,unknown,no
29,management,married,tertiary,no,9848.10566080403,no,no,unknown,15,may,1224,2,-1,0,unknown,yes
41,retired,divorced,primary,no,-3787.4195875843784,yes,no,unknown,15,may,1156,2,-1,0,unknown,no
41,blue-collar,married,primary,no,3239.282017191786,yes,no,unknown,15,may,1052,1,-1,0,unknown,yes
42,technician,single,secondary,no,1785.2033627114579,yes,no,unknown,15,may,1867,6,-1,0,unknown,yes
36,services,single,unknown,no,764.1806341713702,yes,no,unknown,16,may,515,1,-1,0,unknown,yes
39,technician,married,tertiary,no,710.9307636371049,yes,yes,unknown,16,may,813,1,-1,0,unknown,no
31,self-employed,single,tertiary,no,-1362.6485221507335,yes,no,unknown,16,may,676,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,-16.508287277714032,yes,no,unknown,16,may,1143,3,-1,0,unknown,no
31,blue-collar,married,secondary,no,-1061.409206395553,yes,no,unknown,16,may,688,1,-1,0,unknown,yes
29,admin.,single,secondary,no,1184.8573277064545,yes,yes,unknown,16,may,803,1,-1,0,unknown,no
37,services,divorced,secondary,no,272.36493313010664,yes,no,unknown,16,may,619,2,-1,0,unknown,no
33,blue-collar,single,secondary,no,-741.6339698348868,yes,no,unknown,16,may,767,2,-1,0,unknown,no
24,technician,single,secondary,no,-1218.1131501426366,yes,no,unknown,16,may,912,1,-1,0,unknown,yes
50,admin.,divorced,secondary,no,-11.60094266845556,yes,no,unknown,16,may,1340,1,-1,0,unknown,no
27,technician,single,tertiary,no,3366.623420393559,yes,no,unknown,16,may,897,1,-1,0,unknown,no
54,management,single,tertiary,no,4877.926252085462,yes,no,unknown,16,may,1297,3,-1,0,unknown,no
30,technician,single,secondary,no,1116.8050577612548,yes,no,unknown,16,may,1193,5,-1,0,unknown,yes
34,blue-collar,married,primary,no,1869.6744377654725,yes,yes,unknown,16,may,1064,4,-1,0,unknown,yes
37,management,single,secondary,no,746.8986192056955,yes,no,unknown,16,may,1187,4,-1,0,unknown,yes
41,admin.,single,secondary,no,-108.44698207430474,yes,no,unknown,19,may,882,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,1301.5819866326567,yes,no,unknown,19,may,943,2,-1,0,unknown,yes
31,admin.,married,secondary,no,678.5732835126967,yes,no,unknown,19,may,607,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,857.1339850986237,yes,no,unknown,19,may,1022,4,-1,0,unknown,yes
43,services,divorced,secondary,no,1655.8858902015688,yes,no,unknown,19,may,552,3,-1,0,unknown,no
37,management,divorced,tertiary,no,112.15012116184627,yes,no,unknown,19,may,1622,2,-1,0,unknown,no
30,technician,single,tertiary,no,916.7063164100824,yes,yes,unknown,19,may,967,6,-1,0,unknown,yes
41,technician,married,secondary,no,377.4999409154201,yes,no,unknown,19,may,579,5,-1,0,unknown,no
36,blue-collar,married,secondary,no,2087.9437483000816,yes,no,unknown,20,may,446,1,-1,0,unknown,no
35,blue-collar,divorced,secondary,no,-1209.681810458121,yes,no,unknown,20,may,1205,1,-1,0,unknown,no
29,services,single,secondary,no,-1911.6354795015027,yes,no,unknown,20,may,1882,2,-1,0,unknown,yes
35,blue-collar,married,primary,no,353.3124555925275,yes,no,unknown,20,may,1334,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,-364.08931372639114,yes,no,unknown,20,may,182,2,-1,0,unknown,yes
35,services,married,secondary,no,4183.639146106064,yes,no,unknown,20,may,1777,1,-1,0,unknown,yes
34,technician,single,secondary,no,1416.6655507344944,yes,no,unknown,20,may,1182,4,-1,0,unknown,yes
31,admin.,single,secondary,no,-118.02289601856171,yes,yes,unknown,20,may,1045,1,-1,0,unknown,no
44,technician,divorced,secondary,no,826.1891597076849,yes,no,unknown,20,may,650,3,-1,0,unknown,yes
36,blue-collar,married,primary,no,972.4998100200327,yes,yes,unknown,20,may,1063,2,-1,0,unknown,no
35,blue-collar,married,unknown,no,4205.305486755668,yes,no,unknown,20,may,843,2,-1,0,unknown,no
41,blue-collar,married,primary,no,-225.98121281330032,yes,no,unknown,20,may,1392,2,-1,0,unknown,no
31,blue-collar,single,primary,no,-214.38227716383375,yes,no,unknown,21,may,565,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,314.1601604562378,yes,no,unknown,21,may,905,1,-1,0,unknown,no
32,technician,married,secondary,no,2338.5605412685104,yes,no,unknown,21,may,783,2,-1,0,unknown,no
36,management,married,tertiary,no,1604.5093704377628,yes,yes,unknown,21,may,958,2,-1,0,unknown,no
30,blue-collar,single,secondary,yes,483.81602377745514,yes,no,unknown,21,may,412,1,-1,0,unknown,no
37,technician,single,secondary,no,2282.5468679143914,yes,no,unknown,21,may,795,1,-1,0,unknown,yes
36,blue-collar,married,primary,no,1336.4304856267959,yes,no,unknown,21,may,649,2,-1,0,unknown,yes
31,management,single,tertiary,no,47.35452052983442,yes,no,unknown,21,may,506,2,-1,0,unknown,yes
27,technician,married,secondary,no,3395.9819812660153,yes,yes,unknown,21,may,857,1,-1,0,unknown,no
34,retired,married,primary,no,4563.648083430744,no,no,unknown,21,may,1681,1,-1,0,unknown,no
30,technician,single,tertiary,no,2041.7178104469322,yes,no,unknown,21,may,1697,2,-1,0,unknown,yes
32,technician,single,tertiary,no,5904.352509557591,yes,no,unknown,21,may,860,2,-1,0,unknown,no
37,technician,single,secondary,no,2969.0110267916916,yes,no,unknown,21,may,799,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,-411.0414540077534,yes,no,unknown,21,may,923,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,-619.6755845458466,yes,no,unknown,21,may,521,3,-1,0,unknown,yes
35,blue-collar,married,primary,no,869.7001934526631,yes,no,unknown,23,may,1349,8,-1,0,unknown,no
35,self-employed,divorced,tertiary,no,2151.27296958253,yes,no,unknown,23,may,736,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,1247.301323450165,yes,no,unknown,23,may,785,1,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,-3683.7587152752412,yes,no,unknown,23,may,1030,1,-1,0,unknown,yes
45,admin.,married,secondary,no,166.14081983905598,yes,no,unknown,23,may,893,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,1321.5842971257716,yes,no,unknown,23,may,588,3,-1,0,unknown,yes
44,management,divorced,tertiary,no,5132.89462951844,no,no,unknown,23,may,597,6,-1,0,unknown,yes
40,blue-collar,married,primary,no,-848.6606838359091,yes,no,unknown,23,may,1015,3,-1,0,unknown,no
31,blue-collar,married,secondary,no,2600.21903986296,yes,no,unknown,23,may,1392,2,-1,0,unknown,no
30,technician,married,tertiary,no,2252.775448652523,yes,no,unknown,26,may,414,2,-1,0,unknown,no
44,technician,divorced,secondary,no,917.8046021317073,yes,no,unknown,26,may,788,11,-1,0,unknown,no
34,services,married,secondary,no,-507.78275752998206,yes,no,unknown,26,may,682,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,535.9413188125102,no,no,unknown,26,may,679,2,-1,0,unknown,no
28,self-employed,single,tertiary,no,-251.22564653660444,yes,no,unknown,26,may,1560,2,-1,0,unknown,no
32,admin.,single,secondary,no,2887.6571535498897,yes,no,unknown,26,may,1234,3,-1,0,unknown,no
37,blue-collar,divorced,secondary,no,2358.2141926827708,yes,no,unknown,26,may,642,2,-1,0,unknown,yes
34,management,married,tertiary,no,1745.8174367898453,yes,no,unknown,26,may,895,4,-1,0,unknown,no
38,admin.,divorced,secondary,no,193.64700102452042,yes,no,unknown,26,may,431,2,-1,0,unknown,no
28,admin.,single,secondary,no,59.34333662790999,yes,no,unknown,26,may,741,6,-1,0,unknown,no
31,management,divorced,tertiary,no,701.1330759760203,yes,no,unknown,26,may,1272,4,-1,0,unknown,yes
59,services,married,secondary,no,-2078.3248002455343,yes,no,unknown,26,may,748,3,-1,0,unknown,no
24,blue-collar,married,secondary,no,880.1170484375968,yes,no,unknown,26,may,896,3,-1,0,unknown,yes
26,services,single,secondary,no,905.2380379394262,yes,no,unknown,26,may,764,2,-1,0,unknown,no
59,retired,single,secondary,no,-1442.393433166192,yes,no,unknown,27,may,1063,5,-1,0,unknown,no
30,entrepreneur,single,primary,no,-461.21012306446477,yes,yes,unknown,27,may,1051,1,-1,0,unknown,yes
37,admin.,married,secondary,no,1611.6571690457245,yes,no,unknown,27,may,731,3,-1,0,unknown,no
30,admin.,single,secondary,no,-793.4300296221329,yes,yes,unknown,27,may,751,1,-1,0,unknown,yes
25,blue-collar,married,secondary,no,-880.0644760349758,yes,no,unknown,27,may,709,1,-1,0,unknown,yes
44,services,divorced,secondary,no,34.181685366090235,yes,yes,unknown,27,may,3094,2,-1,0,unknown,yes
29,management,married,tertiary,no,3115.1055183728076,no,no,unknown,28,may,938,2,-1,0,unknown,yes
26,management,single,tertiary,no,6267.737915562005,yes,no,unknown,28,may,1560,2,-1,0,unknown,no
26,technician,single,secondary,no,1000.8992242985416,yes,no,unknown,28,may,576,3,-1,0,unknown,no
27,services,single,secondary,no,638.3302005243432,yes,no,unknown,28,may,543,2,-1,0,unknown,yes
25,self-employed,single,secondary,no,655.2077601210211,yes,no,unknown,28,may,615,2,-1,0,unknown,yes
28,management,married,secondary,no,772.8819522235547,yes,no,unknown,28,may,507,1,-1,0,unknown,yes
23,services,single,secondary,no,422.7338129080613,yes,no,unknown,28,may,1183,1,-1,0,unknown,no
34,management,single,tertiary,no,1300.4570246913315,yes,no,unknown,28,may,864,2,-1,0,unknown,no
28,student,single,secondary,no,1194.087100177499,yes,no,unknown,28,may,1730,1,-1,0,unknown,yes
51,entrepreneur,married,unknown,no,664.5624103930347,yes,no,unknown,28,may,560,9,-1,0,unknown,no
35,blue-collar,married,secondary,no,-1350.1762844602538,yes,yes,unknown,29,may,543,1,-1,0,unknown,no
35,admin.,married,secondary,no,1280.0116948817144,yes,no,unknown,29,may,539,1,-1,0,unknown,no
56,blue-collar,married,secondary,no,-101.13120118280642,yes,no,unknown,29,may,791,2,-1,0,unknown,yes
45,unemployed,divorced,secondary,no,2576.1365357127434,yes,no,unknown,29,may,746,1,-1,0,unknown,no
60,blue-collar,divorced,secondary,no,-1977.2706988090233,yes,no,unknown,29,may,1207,1,-1,0,unknown,yes
56,technician,married,secondary,no,747.267155594642,yes,no,unknown,29,may,535,2,-1,0,unknown,no
27,management,single,tertiary,no,13302.070369633493,yes,no,unknown,29,may,789,3,-1,0,unknown,yes
30,admin.,married,secondary,no,-1813.7615424017417,yes,no,unknown,29,may,792,3,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,613.3136373829356,yes,no,unknown,29,may,833,2,-1,0,unknown,no
29,blue-collar,single,secondary,no,-644.6728625653789,yes,no,unknown,29,may,814,2,-1,0,unknown,yes
38,management,divorced,tertiary,no,4962.556190665939,yes,no,unknown,29,may,1363,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,-345.00919798360314,yes,no,unknown,29,may,1109,3,-1,0,unknown,no
44,blue-collar,single,primary,no,1972.486515583063,yes,no,unknown,29,may,828,3,-1,0,unknown,yes
36,management,single,tertiary,no,7403.371079052335,yes,no,unknown,30,may,917,1,-1,0,unknown,no
38,technician,married,secondary,no,1856.6999740727756,yes,no,unknown,30,may,762,3,-1,0,unknown,no
36,blue-collar,single,secondary,no,-652.2676684157859,yes,yes,unknown,30,may,1133,2,-1,0,unknown,no
37,management,divorced,secondary,no,-285.7581307860971,yes,no,unknown,30,may,638,1,-1,0,unknown,no
35,management,single,tertiary,no,-604.8891790169048,yes,no,unknown,30,may,763,1,-1,0,unknown,yes
38,admin.,divorced,secondary,no,1512.3197300128525,yes,no,unknown,30,may,604,2,-1,0,unknown,no
40,services,married,primary,no,2190.47589010705,yes,no,unknown,30,may,854,2,-1,0,unknown,yes
42,unemployed,divorced,secondary,no,1190.8826645627346,yes,no,unknown,30,may,855,2,-1,0,unknown,yes
46,management,divorced,tertiary,no,14785.191323598567,yes,no,unknown,30,may,1269,1,-1,0,unknown,no
35,technician,divorced,secondary,no,6517.844917438383,yes,no,unknown,30,may,691,10,-1,0,unknown,no
34,technician,divorced,secondary,no,1543.2833013377888,yes,no,unknown,30,may,1097,15,-1,0,unknown,yes
32,services,married,secondary,no,14.22392000988524,yes,no,unknown,30,may,1236,2,-1,0,unknown,no
50,unemployed,married,secondary,no,3101.0761343369477,yes,no,unknown,30,may,886,3,-1,0,unknown,no
35,blue-collar,married,secondary,no,-627.9746856347674,yes,yes,unknown,30,may,1343,3,-1,0,unknown,no
36,technician,single,secondary,no,5383.935609264641,yes,no,unknown,30,may,812,3,-1,0,unknown,yes
53,blue-collar,divorced,primary,no,3928.9035364037613,yes,no,unknown,30,may,1980,2,-1,0,unknown,yes
46,management,single,tertiary,no,3148.165800796486,yes,no,unknown,30,may,984,2,-1,0,unknown,no
26,management,single,tertiary,no,697.5174278105972,yes,no,unknown,30,may,228,2,-1,0,unknown,no
45,technician,single,secondary,no,126.85485515433271,yes,no,unknown,30,may,891,4,-1,0,unknown,yes
31,unemployed,divorced,primary,no,474.34754665309754,yes,no,unknown,30,may,745,12,-1,0,unknown,yes
29,management,single,tertiary,no,1247.1263509295727,yes,no,unknown,30,may,539,12,-1,0,unknown,yes
53,entrepreneur,single,secondary,no,1235.791448418361,yes,no,unknown,30,may,1044,5,-1,0,unknown,yes
27,blue-collar,married,primary,no,1063.1811697386152,yes,no,unknown,30,may,1193,2,-1,0,unknown,no
39,management,married,tertiary,no,3026.6035789629655,yes,no,unknown,2,jun,526,2,-1,0,unknown,yes
36,services,married,secondary,no,1578.1765378788932,yes,no,unknown,2,jun,394,1,-1,0,unknown,no
41,blue-collar,married,primary,no,-747.8488391573068,yes,yes,unknown,2,jun,659,2,-1,0,unknown,no
36,services,married,primary,no,1258.2752318190805,yes,no,unknown,2,jun,1036,1,-1,0,unknown,yes
32,technician,married,secondary,no,884.807759619991,yes,no,unknown,2,jun,815,1,-1,0,unknown,no
35,services,married,secondary,no,-3000.0121348723137,yes,no,unknown,2,jun,563,1,-1,0,unknown,yes
36,management,single,tertiary,no,-1336.0751690014806,yes,no,unknown,2,jun,1068,1,-1,0,unknown,no
35,management,married,tertiary,no,1179.3950454023407,yes,no,unknown,2,jun,230,3,-1,0,unknown,yes
30,blue-collar,single,secondary,no,-2670.1137847202776,yes,no,unknown,2,jun,747,2,-1,0,unknown,yes
42,blue-collar,married,secondary,no,-451.86437340798705,yes,no,unknown,2,jun,671,5,-1,0,unknown,no
42,technician,single,secondary,yes,-1048.1033089509465,yes,no,unknown,2,jun,555,5,-1,0,unknown,yes
32,blue-collar,married,primary,no,796.9341149414008,yes,no,unknown,2,jun,777,4,-1,0,unknown,no
29,blue-collar,single,secondary,no,545.7944413904947,yes,no,unknown,2,jun,707,14,-1,0,unknown,yes
44,management,divorced,tertiary,yes,-1043.4656270146206,yes,no,unknown,2,jun,432,4,-1,0,unknown,no
32,technician,single,secondary,no,1714.6561127873274,yes,no,unknown,3,jun,1173,3,-1,0,unknown,yes
31,unemployed,married,secondary,no,-502.08278980709827,yes,yes,unknown,3,jun,963,2,-1,0,unknown,no
40,self-employed,married,secondary,yes,-1092.8518580382197,yes,yes,unknown,3,jun,941,3,-1,0,unknown,no
43,entrepreneur,married,secondary,no,535.7924420913887,no,no,unknown,3,jun,1025,7,-1,0,unknown,no
27,management,single,secondary,no,458.53467772522197,yes,no,unknown,3,jun,732,2,-1,0,unknown,no
37,services,single,secondary,no,1223.675704902761,yes,no,unknown,3,jun,1045,3,-1,0,unknown,yes
23,services,single,secondary,no,723.7092764840709,yes,no,unknown,3,jun,768,1,-1,0,unknown,yes
25,management,married,primary,no,283.87922196541706,yes,no,unknown,3,jun,801,1,-1,0,unknown,yes
26,blue-collar,single,secondary,yes,-1357.1430404673397,yes,no,unknown,3,jun,482,2,-1,0,unknown,no
47,blue-collar,divorced,primary,no,-116.41061351083124,yes,no,unknown,3,jun,2456,2,-1,0,unknown,no
35,admin.,married,secondary,no,-587.2190659171847,yes,no,unknown,3,jun,1363,7,-1,0,unknown,no
32,technician,single,tertiary,no,5715.016881493825,yes,no,unknown,3,jun,1336,4,-1,0,unknown,yes
45,management,divorced,secondary,no,2946.7696929454237,yes,no,unknown,4,jun,633,1,-1,0,unknown,yes
30,admin.,divorced,secondary,no,187.24318929124038,yes,no,unknown,4,jun,524,15,-1,0,unknown,no
29,services,single,secondary,no,938.228498567998,yes,no,unknown,4,jun,578,1,-1,0,unknown,no
38,blue-collar,married,primary,no,6078.956885889619,yes,no,unknown,4,jun,984,2,-1,0,unknown,no
23,blue-collar,single,secondary,no,1194.6079101324362,yes,no,unknown,4,jun,638,1,-1,0,unknown,yes
27,management,single,tertiary,no,103.17153155592072,yes,no,unknown,4,jun,767,2,-1,0,unknown,yes
27,management,single,tertiary,yes,-581.2558234365665,yes,no,unknown,4,jun,525,2,-1,0,unknown,yes
29,services,single,secondary,no,20.106005982484973,yes,no,unknown,4,jun,563,1,-1,0,unknown,no
30,self-employed,married,tertiary,no,-198.8018479130477,yes,yes,unknown,4,jun,1449,6,-1,0,unknown,yes
36,blue-collar,married,primary,no,867.3263404968943,yes,no,unknown,4,jun,920,1,-1,0,unknown,yes
35,admin.,divorced,secondary,no,-18.214563143067664,yes,no,unknown,4,jun,908,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,-613.0563448907324,no,no,unknown,5,jun,208,1,-1,0,unknown,yes
59,retired,divorced,primary,no,183.22232759900947,yes,no,unknown,5,jun,910,2,-1,0,unknown,no
47,entrepreneur,married,secondary,no,-818.6906991400604,no,no,unknown,5,jun,1446,1,-1,0,unknown,no
58,entrepreneur,married,tertiary,no,2531.6139563257284,no,no,unknown,5,jun,1149,2,-1,0,unknown,yes
37,management,single,tertiary,no,2120.936620792998,no,no,unknown,5,jun,1123,1,-1,0,unknown,no
46,admin.,single,secondary,no,2245.54368801658,yes,no,unknown,5,jun,508,2,-1,0,unknown,yes
43,blue-collar,single,secondary,no,80.81270541710097,yes,no,unknown,5,jun,736,2,-1,0,unknown,yes
27,management,single,tertiary,no,-2039.4793690540773,yes,no,unknown,5,jun,590,3,-1,0,unknown,no
38,services,divorced,secondary,no,1593.235921394431,no,no,unknown,5,jun,636,1,-1,0,unknown,yes
53,housemaid,married,primary,no,-18.31432640929789,no,yes,unknown,5,jun,701,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,4131.954470221101,no,no,unknown,5,jun,761,2,-1,0,unknown,no
56,housemaid,divorced,primary,yes,3305.2408171766433,no,no,unknown,5,jun,1558,1,-1,0,unknown,no
41,housemaid,married,secondary,no,1844.736802133858,no,no,unknown,5,jun,1053,2,-1,0,unknown,no
29,self-employed,married,secondary,no,7.303906206235524,yes,no,unknown,5,jun,562,15,-1,0,unknown,no
50,technician,married,secondary,no,210.02364476723466,yes,no,unknown,5,jun,494,5,-1,0,unknown,no
45,blue-collar,divorced,primary,no,1799.749723005408,no,no,unknown,5,jun,1018,3,-1,0,unknown,no
35,blue-collar,married,secondary,no,500.32373802560375,yes,no,unknown,5,jun,884,4,-1,0,unknown,no
26,technician,single,secondary,no,-214.3720893211672,yes,no,unknown,6,jun,709,5,-1,0,unknown,yes
26,admin.,married,secondary,no,805.1268006845671,yes,yes,unknown,6,jun,1276,2,-1,0,unknown,no
37,blue-collar,married,unknown,no,3131.5606432767163,no,yes,unknown,6,jun,381,2,-1,0,unknown,yes
30,admin.,single,secondary,no,615.5916709613005,yes,no,unknown,6,jun,862,11,-1,0,unknown,yes
38,management,single,tertiary,no,738.0882721735545,yes,no,unknown,6,jun,460,4,-1,0,unknown,yes
37,services,divorced,secondary,no,-973.1924030401287,yes,no,unknown,6,jun,467,3,-1,0,unknown,no
53,technician,married,secondary,no,686.1913782168681,no,no,unknown,6,jun,648,2,-1,0,unknown,yes
29,blue-collar,single,primary,no,3303.243455224263,yes,no,unknown,6,jun,2653,3,-1,0,unknown,yes
35,management,single,tertiary,no,-935.700738100666,no,no,unknown,6,jun,1085,1,-1,0,unknown,yes
28,blue-collar,married,secondary,no,2817.4619375063844,yes,no,unknown,6,jun,369,2,-1,0,unknown,no
55,blue-collar,married,unknown,no,8669.692768144769,no,no,unknown,6,jun,685,3,-1,0,unknown,no
49,management,divorced,secondary,no,472.1827916708944,yes,no,unknown,9,jun,1055,10,-1,0,unknown,yes
